ID,Image_Label,Question,Answer,Expression
c-18,/static/language/18.png,Where are they assembling an airplane?,In a house.; In a working room.; They are in the repair and maintenance room.,Sad
c-19,/static/language/19.png,What are they celebrating?,A birthday.; They are celebrating a birthday.; ,Happy
c-19,/static/language/19.png,Who are celebrating?,Children are celebrating birthday.; A group of happy kids.; Kids are celebrating a party.; Friends are celebrating a birthday.; A group of young kids.,Happy
c-19,/static/language/19.png,Where are they celebrating?,Outside home.; They are celebrating in a lawn.; In a courtyard.; Children are celebrating birthday in the backyard.,Happy
c-32,/static/language/32.png,What is she doing?,Smiling and teaching pottery making.; She is happily teaching pottery.; She is making pots using clay.; She is making cups in pottery.,Happy
c-32,/static/language/32.png,Who is she?,A woman.; She is a happy teacher.; She is a pottery expert.; Pottery maker.,Happy
c-32,/static/language/32.png,Where she is?,She is in a pottery class.; She is at pottery shop.,Happy
c-38,/static/language/38.png,What is the boy doing?,Presenting a science project with a smile.; He is happily presenting his science project.; The boy is demonstrating his project.; Participating in a school science fair.,Happy
c-38,/static/language/38.png,Who is he?,He is a student.; He is a happy young school age boy.; He is a young scientist.,Happy
c-38,/static/language/38.png,Where he is?,He is in a science fair.; He is showing his project at exhibition.; He is in a school science fair.; He is at project gallery.,Happy
c-42,/static/language/42.png,What are they creating?,Family is building a snowman.; They are making a snowman.; The family is happily constructing a snowman.; Crafting a snowman in the yard.,Happy
c-42,/static/language/42.png,Who are they?,They are happy family.; Parents and a child.,Happy
c-42,/static/language/42.png,Where are they?,They are outside house.; They are on street side.; In the yard.,Happy
c-42,/static/language/42.png,How they are creating?,By collecting snow.; With the help of a snow.; They are creating using their hands and snow.,Happy
c-44,/static/language/44.png,What are they playing?,They are happily playing a board game.; They are playing a board game.; The family is having a board game night.; Engaging in a fun board game together.,Happy
c-44,/static/language/44.png,Who are they?,They are friends.; They are family members.; A father and daughters.,Happy
c-44,/static/language/44.png,Where are they?,In a house.; They are in a room.; They are in a TV lounge.,Happy
c-49,/static/language/49.png,What is he doing?,Reading a bedtime story.; He is telling a happy bedtime story.; The father is happily reading to his child.; Sharing a story before bed.,Happy
c-49,/static/language/49.png,Who are they?,A father and a son.; They are family members.; A man and a child.,Happy
c-49,/static/language/49.png,Where are they?,They are in a bed.; They are in a room.; They are covered in blanket.,Happy
c-50,/static/language/50.png,What are they doing?,Raking leaves.; They are happily cleaning up the yard.; The family is gathering fallen leaves with a smile.; Collecting leaves in the yard.,Happy
c-50,/static/language/50.png,Who are they?,They are family members.; They are neighbours.; Parents and children.,Happy
c-50,/static/language/50.png,Where are they?,They are outside a house.; In a backyard.; They are in a lawn outside house.,Happy
c-50,/static/language/50.png,How are they cleaning?,They are collecting leaves with hands.; They are cleaning with a long brush.,Happy
c-56,/static/language/56.png,What are they making?,Baking cookies.; They are making cookies with smile.; The kids are baking in the kitchen.; They are happily preparing cookie dough together.,Happy
c-56,/static/language/56.png,Who are they?,Boys and girls.; They are friends.; They are students.; They are relatives.,Happy
c-56,/static/language/56.png,Where are they?,They are in a kitchen.; They are in a baking area.; They are in a home.; They are in a baking class.,Happy
c-63,/static/language/63.png,What is she riding?,A scooter.; She is riding a scooter.; The girl is learning to drive a scooter.; Scootering on the sidewalk.,Angry
c-63,/static/language/63.png,Who is she?,Angry child.; She is a scooty driver.,Angry
c-63,/static/language/63.png,Where she is?,She is on a road.; She is driving along side walk.,Angry
c-70,/static/language/70.png,What are they doing?,They are sad and arguing.;They are quarelling.,Sad
c-70,/static/language/70.png,Who are they?,They are family members.;They are siblings.;They are friends.;Brother and a sister.,Sad
c-70,/static/language/70.png,Where are they?,They are in their home.;They are in living area.;They are in a TV lounge.,Sad
c-71,/static/language/71.png,What are they doing?,They are walking.; They are taking a walk.; Couple is taking a walk.; They are walking together.,Neutral
c-71,/static/language/71.png,Where are they?,At the seaside.; At the seashore.; At the shore.; They are at the seashore.,Neutral
